account_id,product_family,competitor,intensity
A00001,Security,Competitor A,43
A00002,Infrastructure,Competitor C,74
A00002,Database,Competitor D,18
A00002,AI & ML,Competitor D,61
A00002,Security,Competitor A,40
A00002,Applications,Competitor D,26
A00002,Integration,Competitor B,72
A00003,Database,Competitor B,91
A00003,AI & ML,Competitor B,85
A00003,Security,Competitor D,45
A00003,Integration,Competitor C,69
A00004,Analytics & Data,Competitor B,13
A00004,Integration,Competitor C,34
A00005,Infrastructure,Competitor B,32
A00006,Infrastructure,Competitor C,98
A00006,Database,Competitor C,77
A00006,Analytics & Data,Competitor C,74
A00006,Security,Competitor B,93
A00006,Applications,Competitor D,98
A00006,Integration,Competitor D,98
A00008,Infrastructure,Competitor A,78
A00008,Analytics & Data,Competitor D,65
A00008,Integration,Competitor A,51
A00009,Infrastructure,Competitor B,50
A00009,Database,Competitor A,49
A00010,Infrastructure,Competitor C,63
A00010,Database,Competitor C,100
A00010,Analytics & Data,Competitor D,99
A00010,Applications,Competitor C,44
A00011,Infrastructure,Competitor D,71
A00011,Database,Competitor A,100
A00011,Analytics & Data,Competitor D,98
A00011,AI & ML,Competitor C,66
A00011,Security,Competitor D,100
A00011,Integration,Competitor C,100
A00012,Infrastructure,Competitor B,97
A00012,Analytics & Data,Competitor C,83
A00012,AI & ML,Competitor C,92
A00012,Applications,Competitor B,100
A00012,Integration,Competitor C,97
A00013,Infrastructure,Competitor C,100
A00013,Database,Competitor C,100
A00013,Analytics & Data,Competitor D,71
A00013,Security,Competitor C,70
A00013,Applications,Competitor C,85
A00014,Infrastructure,Competitor B,46
A00014,Database,Competitor C,48
A00014,AI & ML,Competitor C,75
A00014,Security,Competitor C,49
A00015,Analytics & Data,Competitor D,88
A00015,Applications,Competitor A,55
A00016,Infrastructure,Competitor D,93
A00016,Database,Competitor B,72
A00016,Analytics & Data,Competitor D,62
A00016,AI & ML,Competitor A,99
A00016,Applications,Competitor B,49
A00016,Integration,Competitor D,70
A00017,Infrastructure,Competitor C,100
A00017,Database,Competitor A,99
A00017,Analytics & Data,Competitor B,71
A00017,AI & ML,Competitor D,99
A00017,Security,Competitor D,97
A00017,Integration,Competitor C,100
A00018,Database,Competitor B,97
A00018,Analytics & Data,Competitor A,97
A00018,AI & ML,Competitor B,72
A00018,Security,Competitor A,80
A00018,Applications,Competitor A,76
A00018,Integration,Competitor C,98
A00019,Infrastructure,Competitor A,100
A00019,Database,Competitor B,97
A00019,AI & ML,Competitor C,83
A00019,Security,Competitor B,77
A00019,Applications,Competitor D,97
A00020,Database,Competitor D,68
A00020,Analytics & Data,Competitor A,84
A00020,AI & ML,Competitor B,99
A00020,Security,Competitor A,86
A00020,Integration,Competitor C,97
A00021,Applications,Competitor A,10
A00022,Applications,Competitor B,89
A00023,Infrastructure,Competitor D,86
A00023,Database,Competitor D,93
A00023,Analytics & Data,Competitor D,67
A00023,AI & ML,Competitor C,59
A00023,Applications,Competitor A,100
A00023,Integration,Competitor C,75
A00024,Security,Competitor D,26
A00025,Infrastructure,Competitor D,54
A00025,Database,Competitor C,88
A00025,Analytics & Data,Competitor A,81
A00025,AI & ML,Competitor C,70
A00025,Security,Competitor A,76
A00025,Applications,Competitor A,80
A00025,Integration,Competitor A,85
A00026,Security,Competitor D,68
A00026,Applications,Competitor B,84
A00026,Integration,Competitor D,65
A00027,Database,Competitor B,55
A00027,AI & ML,Competitor C,35
A00028,Security,Competitor C,12
A00029,Infrastructure,Competitor C,86
A00029,Database,Competitor B,82
A00029,Analytics & Data,Competitor C,93
A00029,AI & ML,Competitor A,93
A00029,Security,Competitor B,86
A00029,Applications,Competitor D,89
A00029,Integration,Competitor B,98
A00030,Database,Competitor D,39
A00030,AI & ML,Competitor C,40
A00031,Infrastructure,Competitor C,74
A00031,Database,Competitor B,97
A00031,Analytics & Data,Competitor D,98
A00031,AI & ML,Competitor C,98
A00031,Security,Competitor D,87
A00031,Applications,Competitor C,74
A00031,Integration,Competitor C,97
A00032,Infrastructure,Competitor B,81
A00032,Database,Competitor B,98
A00032,Analytics & Data,Competitor A,74
A00032,AI & ML,Competitor A,74
A00032,Security,Competitor C,83
A00032,Integration,Competitor D,80
A00033,Database,Competitor D,46
A00033,AI & ML,Competitor B,75
A00033,Security,Competitor B,59
A00033,Integration,Competitor A,82
A00034,Infrastructure,Competitor C,89
A00034,AI & ML,Competitor B,50
A00034,Security,Competitor A,83
A00034,Applications,Competitor B,36
A00035,Infrastructure,Competitor D,98
A00035,Analytics & Data,Competitor A,99
A00035,AI & ML,Competitor B,100
A00035,Security,Competitor C,79
A00037,Infrastructure,Competitor B,92
A00037,Analytics & Data,Competitor C,74
A00037,Security,Competitor A,89
A00037,Applications,Competitor D,91
A00037,Integration,Competitor A,71
A00038,Database,Competitor A,69
A00038,Analytics & Data,Competitor A,77
A00038,AI & ML,Competitor C,74
A00038,Security,Competitor C,92
A00038,Integration,Competitor D,79
A00039,AI & ML,Competitor D,80
A00039,Applications,Competitor C,39
A00040,Infrastructure,Competitor A,100
A00040,Database,Competitor C,98
A00040,Analytics & Data,Competitor D,97
A00040,AI & ML,Competitor B,89
A00040,Security,Competitor B,84
A00040,Applications,Competitor C,99
A00040,Integration,Competitor B,99
A00041,Infrastructure,Competitor D,97
A00041,Analytics & Data,Competitor B,100
A00041,AI & ML,Competitor B,97
A00041,Security,Competitor C,97
A00041,Integration,Competitor D,97
A00042,Infrastructure,Competitor C,99
A00042,Database,Competitor B,87
A00042,AI & ML,Competitor B,98
A00042,Security,Competitor C,99
A00042,Applications,Competitor D,97
A00042,Integration,Competitor B,98
A00043,Infrastructure,Competitor A,55
A00043,Analytics & Data,Competitor B,39
A00044,Infrastructure,Competitor C,91
A00044,Database,Competitor B,98
A00044,Analytics & Data,Competitor A,80
A00044,Security,Competitor B,52
A00044,Applications,Competitor D,97
A00044,Integration,Competitor B,100
A00045,Infrastructure,Competitor D,99
A00045,Database,Competitor C,87
A00045,AI & ML,Competitor B,98
A00045,Security,Competitor B,98
A00045,Applications,Competitor D,86
A00047,Infrastructure,Competitor B,11
A00047,Security,Competitor A,63
A00048,Database,Competitor A,55
A00048,Analytics & Data,Competitor A,36
A00048,AI & ML,Competitor B,46
A00048,Security,Competitor A,24
A00048,Applications,Competitor A,100
A00048,Integration,Competitor B,56
A00049,Database,Competitor A,63
A00049,AI & ML,Competitor B,75
A00049,Security,Competitor D,28
A00050,Infrastructure,Competitor C,83
A00050,Database,Competitor C,76
A00050,Analytics & Data,Competitor B,76
A00050,Security,Competitor B,77
A00050,Integration,Competitor B,60
A00051,Infrastructure,Competitor A,75
A00051,Database,Competitor D,90
A00051,Analytics & Data,Competitor B,84
A00051,AI & ML,Competitor D,36
A00051,Security,Competitor D,76
A00051,Applications,Competitor A,92
A00051,Integration,Competitor C,99
A00052,Infrastructure,Competitor A,98
A00052,AI & ML,Competitor D,90
A00052,Integration,Competitor B,89
A00053,Infrastructure,Competitor C,98
A00053,Database,Competitor C,100
A00053,Analytics & Data,Competitor B,40
A00053,Security,Competitor B,77
A00053,Integration,Competitor C,98
A00054,Database,Competitor B,74
A00054,Analytics & Data,Competitor A,21
A00054,Applications,Competitor C,91
A00055,Database,Competitor A,59
A00055,AI & ML,Competitor A,67
A00055,Security,Competitor C,55
A00055,Applications,Competitor B,55
A00055,Integration,Competitor A,42
A00056,Database,Competitor A,73
A00056,Analytics & Data,Competitor D,84
A00056,Integration,Competitor B,68
A00057,Database,Competitor B,93
A00057,Analytics & Data,Competitor C,48
A00057,AI & ML,Competitor A,84
A00057,Security,Competitor B,90
A00057,Applications,Competitor C,75
A00057,Integration,Competitor C,100
A00058,Infrastructure,Competitor B,85
A00058,Database,Competitor C,45
A00058,Analytics & Data,Competitor C,64
A00058,AI & ML,Competitor B,97
A00058,Security,Competitor D,39
A00058,Applications,Competitor D,26
A00058,Integration,Competitor D,84
A00059,AI & ML,Competitor A,46
A00059,Security,Competitor A,59
A00060,Integration,Competitor C,35
A00061,Infrastructure,Competitor D,13
A00061,Analytics & Data,Competitor B,53
A00061,AI & ML,Competitor C,31
A00061,Security,Competitor B,53
A00061,Applications,Competitor D,76
A00061,Integration,Competitor C,69
A00062,Infrastructure,Competitor D,100
A00062,Analytics & Data,Competitor C,54
A00062,AI & ML,Competitor C,72
A00062,Security,Competitor D,98
A00062,Integration,Competitor C,65
A00063,Database,Competitor D,11
A00063,Applications,Competitor C,11
A00064,Analytics & Data,Competitor A,35
A00065,Infrastructure,Competitor B,69
A00065,Database,Competitor A,53
A00065,AI & ML,Competitor D,68
A00065,Applications,Competitor C,43
A00066,Analytics & Data,Competitor B,20
A00067,Infrastructure,Competitor B,97
A00067,Database,Competitor D,98
A00067,AI & ML,Competitor C,93
A00067,Security,Competitor C,98
A00067,Applications,Competitor B,99
A00067,Integration,Competitor C,80
A00068,Database,Competitor A,87
A00068,AI & ML,Competitor D,75
A00068,Integration,Competitor B,85
A00069,Infrastructure,Competitor A,90
A00069,Database,Competitor A,98
A00069,Analytics & Data,Competitor D,69
A00069,AI & ML,Competitor B,93
A00069,Security,Competitor C,74
A00069,Applications,Competitor B,68
A00069,Integration,Competitor C,91
A00070,Infrastructure,Competitor C,71
A00070,Database,Competitor C,100
A00070,Analytics & Data,Competitor B,70
A00070,AI & ML,Competitor B,83
A00070,Applications,Competitor A,97
A00070,Integration,Competitor C,100
A00071,Infrastructure,Competitor D,91
A00071,Database,Competitor A,67
A00071,Analytics & Data,Competitor B,85
A00071,AI & ML,Competitor C,78
A00071,Applications,Competitor B,88
A00071,Integration,Competitor A,85
A00072,Infrastructure,Competitor C,85
A00072,AI & ML,Competitor A,69
A00072,Security,Competitor C,53
A00072,Applications,Competitor B,62
A00072,Integration,Competitor A,46
A00073,Infrastructure,Competitor B,77
A00073,Analytics & Data,Competitor B,50
A00073,AI & ML,Competitor D,55
A00073,Security,Competitor C,97
A00073,Integration,Competitor A,90
A00074,Database,Competitor A,38
A00075,Infrastructure,Competitor A,62
A00075,AI & ML,Competitor A,90
A00075,Security,Competitor D,91
A00075,Applications,Competitor C,89
A00075,Integration,Competitor C,78
A00076,Integration,Competitor D,66
A00077,Infrastructure,Competitor A,98
A00077,Analytics & Data,Competitor C,100
A00077,AI & ML,Competitor A,99
A00077,Security,Competitor A,100
A00077,Applications,Competitor B,70
A00077,Integration,Competitor B,97
A00078,Infrastructure,Competitor A,64
A00078,Database,Competitor C,42
A00078,AI & ML,Competitor B,66
A00078,Security,Competitor B,72
A00078,Applications,Competitor B,80
A00079,Database,Competitor B,93
A00079,Analytics & Data,Competitor D,38
A00079,AI & ML,Competitor A,84
A00079,Security,Competitor C,74
A00079,Integration,Competitor D,87
A00080,AI & ML,Competitor C,81
A00080,Applications,Competitor D,98
A00080,Integration,Competitor C,74
A00081,Security,Competitor B,34
A00081,Applications,Competitor A,13
A00082,Infrastructure,Competitor D,52
A00082,Analytics & Data,Competitor A,81
A00082,Security,Competitor B,26
A00082,Applications,Competitor C,61
A00083,Database,Competitor C,74
A00083,Analytics & Data,Competitor C,98
A00083,AI & ML,Competitor A,77
A00083,Applications,Competitor C,68
A00083,Integration,Competitor C,99
A00084,Infrastructure,Competitor D,100
A00084,Analytics & Data,Competitor D,78
A00084,AI & ML,Competitor B,100
A00084,Security,Competitor B,99
A00084,Applications,Competitor A,99
A00085,AI & ML,Competitor D,100
A00085,Security,Competitor D,68
A00085,Applications,Competitor D,72
A00086,Infrastructure,Competitor A,100
A00086,Database,Competitor B,97
A00086,Analytics & Data,Competitor D,99
A00086,AI & ML,Competitor B,99
A00086,Security,Competitor D,99
A00086,Applications,Competitor D,78
A00086,Integration,Competitor A,97
A00087,Infrastructure,Competitor D,80
A00087,Database,Competitor C,82
A00087,Integration,Competitor D,58
A00088,Infrastructure,Competitor C,40
A00088,Analytics & Data,Competitor A,71
A00088,Security,Competitor A,38
A00089,Infrastructure,Competitor D,43
A00089,Analytics & Data,Competitor B,54
A00089,Applications,Competitor B,56
A00089,Integration,Competitor C,52
A00090,Database,Competitor D,67
A00090,Security,Competitor A,99
A00090,Applications,Competitor A,100
A00091,Infrastructure,Competitor C,99
A00091,Database,Competitor D,98
A00091,Analytics & Data,Competitor C,98
A00091,Security,Competitor A,97
A00091,Integration,Competitor A,82
A00092,Applications,Competitor A,80
A00093,Infrastructure,Competitor A,31
A00093,Analytics & Data,Competitor C,56
A00093,Security,Competitor B,16
A00094,Infrastructure,Competitor B,88
A00094,Database,Competitor D,87
A00094,Analytics & Data,Competitor D,74
A00094,Security,Competitor C,97
A00094,Integration,Competitor D,79
A00095,Infrastructure,Competitor C,52
A00095,Applications,Competitor C,17
A00096,Infrastructure,Competitor D,82
A00096,Analytics & Data,Competitor A,88
A00096,AI & ML,Competitor A,86
A00096,Security,Competitor B,81
A00096,Applications,Competitor B,98
A00097,Infrastructure,Competitor C,70
A00097,Database,Competitor D,85
A00097,Analytics & Data,Competitor D,99
A00097,AI & ML,Competitor B,75
A00097,Applications,Competitor A,100
A00097,Integration,Competitor B,98
A00098,Analytics & Data,Competitor B,66
A00098,AI & ML,Competitor A,100
A00098,Integration,Competitor C,54
A00099,Infrastructure,Competitor D,93
A00099,Database,Competitor B,51
A00099,Analytics & Data,Competitor D,81
A00099,AI & ML,Competitor D,40
A00099,Security,Competitor A,87
A00099,Integration,Competitor D,82
A00100,Applications,Competitor C,15
A00101,Database,Competitor D,59
A00101,Analytics & Data,Competitor D,40
A00101,AI & ML,Competitor B,88
A00101,Applications,Competitor A,78
A00101,Integration,Competitor B,76
A00102,Analytics & Data,Competitor B,58
A00103,Infrastructure,Competitor A,88
A00103,Database,Competitor D,73
A00103,Security,Competitor B,86
A00103,Applications,Competitor A,97
A00103,Integration,Competitor C,83
A00104,Database,Competitor B,73
A00104,AI & ML,Competitor A,68
A00104,Security,Competitor B,62
A00104,Applications,Competitor A,99
A00104,Integration,Competitor D,83
A00105,Infrastructure,Competitor A,48
A00105,Analytics & Data,Competitor D,99
A00105,AI & ML,Competitor B,82
A00105,Security,Competitor B,69
A00105,Applications,Competitor A,82
A00105,Integration,Competitor B,97
A00106,Security,Competitor C,55
A00107,Infrastructure,Competitor A,68
A00107,Database,Competitor A,74
A00107,Analytics & Data,Competitor A,100
A00107,AI & ML,Competitor B,81
A00107,Security,Competitor A,53
A00107,Applications,Competitor D,99
A00107,Integration,Competitor C,79
A00108,Database,Competitor A,60
A00108,Analytics & Data,Competitor A,53
A00108,AI & ML,Competitor C,68
A00108,Security,Competitor C,59
A00108,Applications,Competitor B,86
A00108,Integration,Competitor D,48
A00109,Database,Competitor A,73
A00109,Analytics & Data,Competitor D,87
A00109,AI & ML,Competitor A,75
A00109,Applications,Competitor C,97
A00109,Integration,Competitor B,100
A00110,Infrastructure,Competitor D,97
A00110,Analytics & Data,Competitor C,86
A00110,Security,Competitor D,98
A00110,Applications,Competitor D,97
A00110,Integration,Competitor A,74
A00111,Database,Competitor A,28
A00111,Security,Competitor C,56
A00112,Infrastructure,Competitor D,99
A00112,AI & ML,Competitor A,79
A00112,Integration,Competitor A,80
A00113,Database,Competitor C,10
A00113,Analytics & Data,Competitor B,55
A00114,Database,Competitor A,99
A00114,Analytics & Data,Competitor D,99
A00114,AI & ML,Competitor B,100
A00114,Security,Competitor D,99
A00114,Applications,Competitor D,100
A00114,Integration,Competitor D,82
A00115,Database,Competitor C,83
A00115,Applications,Competitor A,56
A00115,Integration,Competitor A,99
A00117,Infrastructure,Competitor B,73
A00117,AI & ML,Competitor D,64
A00117,Security,Competitor C,98
A00117,Applications,Competitor C,85
A00117,Integration,Competitor D,87
A00118,Database,Competitor B,85
A00118,Analytics & Data,Competitor A,55
A00118,Applications,Competitor C,77
A00118,Integration,Competitor A,71
A00119,Infrastructure,Competitor B,46
A00119,Database,Competitor A,76
A00119,Analytics & Data,Competitor B,72
A00119,AI & ML,Competitor C,97
A00119,Security,Competitor B,98
A00119,Applications,Competitor B,90
A00119,Integration,Competitor D,88
A00120,Infrastructure,Competitor D,86
A00120,Database,Competitor D,36
A00120,Analytics & Data,Competitor B,100
A00120,AI & ML,Competitor A,98
A00120,Applications,Competitor C,100
A00120,Integration,Competitor B,49
A00121,Database,Competitor C,80
A00121,Analytics & Data,Competitor C,97
A00121,AI & ML,Competitor B,97
A00121,Security,Competitor A,86
A00121,Applications,Competitor D,86
A00122,Infrastructure,Competitor B,40
A00122,Analytics & Data,Competitor A,98
A00122,AI & ML,Competitor C,17
A00122,Security,Competitor C,67
A00123,Infrastructure,Competitor C,100
A00123,Database,Competitor A,100
A00123,Analytics & Data,Competitor C,97
A00123,Applications,Competitor B,100
A00124,AI & ML,Competitor C,70
A00124,Security,Competitor A,47
A00124,Integration,Competitor B,60
A00125,Infrastructure,Competitor C,73
A00125,Database,Competitor B,61
A00125,Analytics & Data,Competitor C,98
A00125,Security,Competitor C,98
A00125,Applications,Competitor C,97
A00125,Integration,Competitor D,99
A00126,Infrastructure,Competitor B,39
A00127,Infrastructure,Competitor D,89
A00127,Database,Competitor D,59
A00127,Analytics & Data,Competitor D,97
A00127,AI & ML,Competitor C,82
A00127,Security,Competitor D,71
A00127,Integration,Competitor B,78
A00128,Infrastructure,Competitor B,97
A00128,Database,Competitor D,82
A00128,AI & ML,Competitor B,79
A00128,Integration,Competitor A,47
A00129,Infrastructure,Competitor D,100
A00129,Database,Competitor D,77
A00129,Analytics & Data,Competitor B,98
A00129,AI & ML,Competitor B,97
A00129,Security,Competitor C,99
A00129,Applications,Competitor A,99
A00129,Integration,Competitor B,100
A00130,Infrastructure,Competitor A,42
A00130,Analytics & Data,Competitor C,97
A00130,AI & ML,Competitor C,99
A00130,Security,Competitor A,100
A00130,Applications,Competitor C,99
A00131,Infrastructure,Competitor A,43
A00131,Analytics & Data,Competitor D,63
A00131,AI & ML,Competitor C,64
A00131,Security,Competitor A,56
A00132,Database,Competitor A,35
A00132,Analytics & Data,Competitor A,80
A00132,AI & ML,Competitor A,46
A00132,Security,Competitor A,67
A00132,Applications,Competitor B,38
A00132,Integration,Competitor A,81
A00133,Infrastructure,Competitor C,75
A00133,Analytics & Data,Competitor C,89
A00133,AI & ML,Competitor B,46
A00134,AI & ML,Competitor C,60
A00134,Security,Competitor C,75
A00134,Applications,Competitor C,41
A00135,Database,Competitor C,76
A00135,Analytics & Data,Competitor C,81
A00135,Integration,Competitor D,86
A00136,Analytics & Data,Competitor A,35
A00136,AI & ML,Competitor C,68
A00136,Security,Competitor C,68
A00136,Integration,Competitor A,81
A00137,Infrastructure,Competitor B,28
A00137,Database,Competitor A,30
A00137,AI & ML,Competitor C,42
A00137,Applications,Competitor B,86
A00138,Infrastructure,Competitor A,71
A00138,Analytics & Data,Competitor C,84
A00138,AI & ML,Competitor D,48
A00138,Security,Competitor C,99
A00138,Applications,Competitor D,58
A00138,Integration,Competitor B,97
A00139,Infrastructure,Competitor C,44
A00139,Analytics & Data,Competitor B,85
A00139,AI & ML,Competitor D,93
A00139,Applications,Competitor C,87
A00140,Database,Competitor A,73
A00140,Analytics & Data,Competitor D,50
A00140,Security,Competitor D,44
A00140,Integration,Competitor A,55
A00141,Infrastructure,Competitor C,98
A00141,Database,Competitor B,78
A00141,Analytics & Data,Competitor D,97
A00141,AI & ML,Competitor D,97
A00141,Security,Competitor B,98
A00141,Applications,Competitor D,99
A00141,Integration,Competitor D,98
A00142,Analytics & Data,Competitor C,97
A00142,AI & ML,Competitor D,69
A00142,Applications,Competitor D,70
A00142,Integration,Competitor C,82
A00143,Infrastructure,Competitor B,69
A00143,Database,Competitor C,71
A00143,AI & ML,Competitor A,70
A00143,Security,Competitor D,99
A00143,Applications,Competitor B,72
A00143,Integration,Competitor B,77
A00144,Infrastructure,Competitor B,45
A00144,Security,Competitor D,69
A00145,Infrastructure,Competitor D,19
A00146,Infrastructure,Competitor B,93
A00146,Analytics & Data,Competitor A,68
A00146,Applications,Competitor A,71
A00146,Integration,Competitor B,91
A00147,Security,Competitor B,90
A00147,Applications,Competitor A,66
A00147,Integration,Competitor B,84
A00148,Infrastructure,Competitor A,93
A00148,Database,Competitor A,69
A00148,Analytics & Data,Competitor C,75
A00148,AI & ML,Competitor C,50
A00148,Applications,Competitor D,80
A00148,Integration,Competitor C,97
A00149,Database,Competitor A,71
A00149,AI & ML,Competitor D,79
A00149,Security,Competitor B,78
A00149,Applications,Competitor A,63
A00149,Integration,Competitor B,79
A00150,Infrastructure,Competitor A,71
A00150,Analytics & Data,Competitor B,18
A00150,AI & ML,Competitor C,46
A00150,Applications,Competitor A,62
A00150,Integration,Competitor B,74
A00151,Infrastructure,Competitor C,75
A00151,Database,Competitor D,97
A00151,Analytics & Data,Competitor B,72
A00151,AI & ML,Competitor C,97
A00151,Security,Competitor A,100
A00151,Applications,Competitor C,81
A00151,Integration,Competitor C,98
A00152,Analytics & Data,Competitor D,44
A00152,AI & ML,Competitor C,41
A00152,Security,Competitor B,68
A00152,Applications,Competitor A,81
A00153,Infrastructure,Competitor C,98
A00153,Database,Competitor B,74
A00153,Analytics & Data,Competitor D,70
A00153,AI & ML,Competitor A,98
A00153,Security,Competitor B,72
A00153,Applications,Competitor D,98
A00154,Infrastructure,Competitor C,78
A00154,Analytics & Data,Competitor A,39
A00154,Applications,Competitor D,35
A00155,Database,Competitor A,90
A00155,AI & ML,Competitor A,75
A00155,Security,Competitor D,100
A00155,Integration,Competitor A,89
A00156,Analytics & Data,Competitor B,100
A00156,Integration,Competitor C,45
A00157,Infrastructure,Competitor C,52
A00157,Security,Competitor A,51
A00157,Applications,Competitor B,48
A00157,Integration,Competitor D,68
A00158,Infrastructure,Competitor C,88
A00158,Database,Competitor D,93
A00158,AI & ML,Competitor D,79
A00158,Applications,Competitor A,82
A00158,Integration,Competitor B,61
A00159,Infrastructure,Competitor B,75
A00159,Analytics & Data,Competitor A,84
A00159,AI & ML,Competitor B,37
A00159,Applications,Competitor C,72
A00160,Infrastructure,Competitor D,69
A00160,Database,Competitor D,83
A00160,AI & ML,Competitor A,88
A00160,Security,Competitor C,93
A00160,Applications,Competitor D,97
A00160,Integration,Competitor C,76
A00161,Analytics & Data,Competitor A,40
A00161,Security,Competitor D,35
A00161,Applications,Competitor A,51
A00162,Infrastructure,Competitor D,93
A00162,Database,Competitor D,72
A00162,AI & ML,Competitor A,100
A00162,Security,Competitor D,39
A00162,Applications,Competitor D,90
A00162,Integration,Competitor C,58
A00163,Infrastructure,Competitor A,71
A00163,Analytics & Data,Competitor B,93
A00163,Applications,Competitor A,31
A00163,Integration,Competitor B,97
A00165,Infrastructure,Competitor B,73
A00165,Database,Competitor A,36
A00165,Analytics & Data,Competitor A,72
A00165,AI & ML,Competitor C,80
A00165,Security,Competitor A,69
A00165,Applications,Competitor B,86
A00165,Integration,Competitor A,75
A00166,Database,Competitor A,76
A00166,Analytics & Data,Competitor D,89
A00167,Security,Competitor D,43
A00168,Infrastructure,Competitor D,78
A00168,Analytics & Data,Competitor C,98
A00168,Security,Competitor C,100
A00168,Applications,Competitor D,93
A00168,Integration,Competitor D,87
A00169,Infrastructure,Competitor A,78
A00169,Database,Competitor B,97
A00169,Analytics & Data,Competitor D,85
A00169,AI & ML,Competitor A,79
A00169,Security,Competitor C,84
A00169,Applications,Competitor B,72
A00170,Infrastructure,Competitor C,69
A00170,Analytics & Data,Competitor C,42
A00170,Applications,Competitor C,52
A00171,Infrastructure,Competitor C,60
A00171,Applications,Competitor C,35
A00172,Infrastructure,Competitor D,87
A00172,AI & ML,Competitor A,76
A00172,Security,Competitor C,97
A00172,Integration,Competitor B,43
A00173,Infrastructure,Competitor A,97
A00173,Analytics & Data,Competitor D,88
A00173,AI & ML,Competitor C,91
A00173,Security,Competitor A,70
A00173,Integration,Competitor A,98
A00174,Infrastructure,Competitor B,68
A00174,Database,Competitor B,98
A00174,AI & ML,Competitor C,87
A00174,Applications,Competitor D,79
A00174,Integration,Competitor A,99
A00175,Infrastructure,Competitor D,50
A00175,Database,Competitor C,98
A00175,Analytics & Data,Competitor D,48
A00175,AI & ML,Competitor A,77
A00175,Security,Competitor D,81
A00175,Integration,Competitor A,40
A00176,Infrastructure,Competitor D,97
A00176,Database,Competitor C,97
A00176,Analytics & Data,Competitor A,98
A00176,AI & ML,Competitor C,97
A00176,Security,Competitor C,98
A00176,Applications,Competitor D,69
A00176,Integration,Competitor A,99
A00177,Infrastructure,Competitor C,97
A00177,Database,Competitor B,72
A00177,Analytics & Data,Competitor A,98
A00177,Integration,Competitor A,98
A00178,Infrastructure,Competitor A,91
A00178,Analytics & Data,Competitor B,85
A00178,Security,Competitor C,66
A00178,Applications,Competitor A,57
A00178,Integration,Competitor C,78
A00179,Infrastructure,Competitor C,87
A00179,Database,Competitor A,99
A00179,Analytics & Data,Competitor A,73
A00179,AI & ML,Competitor C,98
A00180,Database,Competitor A,97
A00180,Analytics & Data,Competitor D,72
A00180,AI & ML,Competitor A,90
A00180,Security,Competitor A,89
A00180,Applications,Competitor D,86
A00180,Integration,Competitor C,37
A00181,Infrastructure,Competitor C,71
